id,location_id,address_1,address_2,city,state_province,postal_code,country
1,1,"1780 SE Lincoln Ave",,"Port Orchard",WA,98366,US
2,2,"3670 Chico Way",,Bremerton,WA,98312,US
3,3,"720 Levee St",,Hoquiam,WA,98550,US
4,4,"405 E Heron St",,Aberdeen,WA,98520,US
5,5,"513 N G St",,Aberdeen,WA,98520,US
6,6,"117 E 3rd Street",,Aberdeen,WA,98520,US
7,7,"151 Corey St",,Brinnon,WA,98320,US
8,8,"9594 Mickelberry Rd NW",,Silverdale,WA,98383,US
9,9,"1012 Mitchell Ave",,"Port Orchard",WA,98366,US
10,10,"1950 Mile Hill Dr",,"Port Orchard",WA,98366,US
11,11,"No Physical Address",,Silverdale,WA,98383,US
12,12,"263 4th St",,Bremerton,WA,98337,US
13,13,"2815 2nd Ave Suite 280",,Seattle,WA,98121,US
14,14,"No Physical Address",,"Rolling Bay",WA,98061,US
15,15,"No Physical Address",,Bremerton,WA,98312,US
16,16,"711 Ness Corner",,"Port Townsend",WA,98368,US
17,17,"1020 Jefferson St",,"Port Townsend",WA,98368,US
18,18,"1415 Lumsden Rd",,"Port Orchard",WA,98367,US
19,19,"5802 Willmont St",,Bremerton,WA,98312,US
20,20,"105 Winslow Way W",,"Bainbridge Island",WA,98110,US
21,21,"220 Parfitt Way",,"Bainbridge Island",WA,98110,US
22,22,"18943 Caldart Ave",,Poulsbo,WA,98370,US
23,23,"81 2nd Ave",,Forks,WA,98331,US
24,24,"1500 NE Riddell Rd Suite F",,Bremerton,WA,98310,US
25,25,"5455 Almira Dr NE",,Bremerton,WA,98311,US
26,26,"306 1/2 N I St",,Aberdeen,WA,98520,US
27,27,"210 W Franklin St",,Shelton,WA,98584,US
28,28,"75 East Campus Rd",,Belfair,WA,98528,US
29,29,"2233 Jefferson St",,Shelton,WA,98584,US
30,30,"514 Broadway Ave E",,Montesano,WA,98563,US
31,31,"2505 Olympic Hwy N Suite 440",,Shelton,WA,98584,US
32,32,"810 State Route 101",,Chinook,WA,98614,US
33,33,"3134 State Route 109",,"Copalis Beach",WA,98535,US
34,34,"2306 Sumner Ave",,Hoquiam,WA,98563,US
35,35,"79 Elkins Rd",,"Port Hadlock",WA,98339,US
36,36,"23780 State Route 3",,Belfair,WA,98528,US
37,37,"40 NE Old Belfair Highway",,Belfair,WA,98528,US
38,38,"216 W Cota St",,Shelton,WA,98584,US
39,39,"205 W Cota St",,Shelton,WA,98584,US
40,40,"22653 State Route 3",,Belfair,WA,98528,US
41,41,"7362 E State Route 106",,Union,WA,98592,US
42,42,"107 N 8th St",,Shelton,WA,98584,US
43,43,"331 N Finch Creek Rd",,Hoodsport,WA,98548,US
44,44,"720 K St",,Hoquiam,WA,98550,US
45,45,"22871 NE State Route 3",,Belfair,WA,98528,US
46,46,"32 McAffe Rd",,Humptulips,WA,98552,US
47,47,"600 E Main St",,Elma,WA,98541,US
48,48,"322 S Birch St",,McCleary,WA,98557,US
49,49,"575 E Main St Bldg 2",,Elma,WA,98541,US
50,50,"22871 NE State Route 3",,Belfair,WA,98528,US
51,51,"100 W Public Works Dr",,Shelton,WA,98584,US
52,52,"415 N 6th St",,Shelton,WA,98584,US
53,53,"415 N 6th St",,Shelton,WA,98584,US
54,54,"133 W Railroad Ave",,Shelton,WA,98584,US
55,55,"190 W Sentry Dr",,Shelton,WA,98584,US
56,56,"71 Sargison Loop",,Shelton,WA,98584,US
57,57,"790 E John's Prairie Rd",,Shelton,WA,98584,US
58,58,"218 N 1st St",,Shelton,WA,98584,US
