id,organization_id,accessibility,admin_emails,alternate_name,description,email,languages,latitude,longitude,name,transportation,virtual,website
1,1,,,,"No description",,,47.5228935,-122.6294953,"Abraham's House - Christian Life Center","From Highway 16 take the Tremont exit.  Follow Tremont then take a right onto SE Lund Ave.  Turn Left on Bethel Ave, then right on Mitchell Rd or SE Lincoln Ave.",FALSE,
2,1,,,,"No description",trmunger@gmail.com,,47.6272734,-122.7071257,"Abraham's House","Located in the Chico Alliance Church.  From Highway 3 turn south on Chico Way NW.  Church will be located on the left past King's West School.",FALSE,
3,2,,,,"No description",donnac@myhhhh.org,,46.9779528,-123.8837609,"Personal Service Providers","Highway 101 (Sumner Ave/Hoquiam) take a left on 6th St. after the Hoquiam Bridge. Turn left on Simpson and then left on 7th.",FALSE,
4,3,,,,"No description",,,46.975212,-123.812969,"Union Gospel Mission of Grays Harbor - Heron Street Mission","Located on across the street from Jack-in-the-Box across the bridge from the Wal-Mart shopping center.",FALSE,
5,3,,,,"No description",,,46.980444,-123.819639,"Union Gospel Mission of Grays Harbor - Friendship House","Located at the end of North G St.",FALSE,
6,4,,,,"No description",info@coastalcap.org,,46.9776142,-123.8204938,"Coastal Community Action Program - Grays Harbor","Located on the corner of East 3rd and North I streets.",FALSE,
7,5,,,,"No description",,,47.6928442,-122.8994437,"Brinnon Food Bank","Located the the corner of Schoolhouse and Corey Lane in the Brinnon Booster Club.",FALSE,
8,6,,,,"No description",,,47.6504647,-122.682235,"Social Security Administration - Kitsap","Located east of the intersection of Mickelberry Rd and NW Bucklin Hill Rd across the street from Albertsons.",FALSE,
9,7,,,,"No description",info@skhelpline.org,,47.533852,-122.6265958,"South Kitsap Helpline","Located at the Port Orchard Nursery.  From Bay St take Bethel Ave south to the roundabout by Hi-Joy Bowl.  Travel east to Mile Hill Dr and take the first right into the Town Square Mall. Take the first right again onto the driveway between Ace Hardware an",FALSE,
10,7,,,,"No description",info@skhelpline.org,,47.5338467,-122.6191914,"South Kitsap Helpline - National Guard Armory","From Bethel Ave take the roundabout near Hi-Joy Bowl east onto Mile Hill Dr.  Located on the right past the Goodwill and near the intersection with Karcher Rd SE.",FALSE,
11,8,,,,"No description",bremerton@standupforkids.org,,,,"StandUp for Kids","Service does not have a physical location.",FALSE,
12,9,,,,"No description",questions@myfinancialgoals.org,,47.565546,-122.625947,"American Financial Solutions","Located in downtown Bremerton, WA, five minutes from the Ferry Terminal.  From Washington Ave turn west onto 4th Ave (one-way road).  AFS is across the street from the Roxy Theater.",FALSE,
13,9,,,,"No description",questions@myfinancialgoals.org,,47.6171169,-122.3512337,"American Financial Solutions - Seattle","Offer counseling in person by appointment in our office at 2815 2nd Avenue, Suite 280, Seattle WA 98121.",FALSE,
14,10,,,,"No description",info@teentalkingcircles.org,,47.6647391,-122.5107066,"Teen Talking Circle Project","Call for meeting location.",FALSE,
15,11,,,,"No description",mail@olympicmountainrescue.org,,47.540416,-122.7705164,"Olympic Mountain Rescue","No physical address.",FALSE,
16,12,,,,"No description",,,48.0330993,-122.7665609,"Overeaters Anonymous - Jefferson - Hadlock Fellowship Hall","Meets at the Hadlock Fellowship Hall in the Lower Level.  Located on Ness Corner Rd (Highway 116) turn at the Ness Storage sign, located behind the Horticulture Store.",FALSE,
17,12,,,,"No description",,,48.1152543,-122.7590994,"Overeaters Anonymous - Jefferson - St Paul's Episcopal Church","Meets at St Paul's Episcopal Church in Fenn House.  From E Sims Way (Highway 20) take the left onto Washington St.  Turn left onto Fillmore St.  Turn right onto Jefferson St.  Located at the intersection with Tyler St.",FALSE,
18,13,,,,"No description",,,47.525033,-122.667918,"Overeaters Anonymous - Kitsap - West Sound Treatment Center","Exit Highway 16 at Tremont/SW Old Clifton Rd. and turn west onto Tremont/SW Old Clifton Rd.  Turn right into the Port Orchard Industrial Park at Lloyd Parkway, and right onto Lumsden Rd. West Sound Treatment Center is 1 block on the right in the Fuller-Wi",FALSE,
19,13,,,,"No description",,,47.5704909,-122.69194,"Overeaters Anonymous - Kitsap - Kitsap Lake Baptist Church","From Highway 3 take the Kitsap Way exit.  Turn west onto Kitsap Way.  Turn left onto Montview Dr by Forest Lawn Cemetery.  Located up the hill at Kitsap Lake Baptist Church",FALSE,
20,13,,,,"No description",,,47.624344,-122.521407,"Overeaters Anonymous - Kitsap - Eagle Harbor Congregational Church","From Highway 305 turn right onto Winslow Way E.  Turn left onto Madison Ave S.",FALSE,
21,13,,,,"No description",,,47.6234183,-122.5224832,"Overeaters Anonymous - Kitsap - Winslow Arms Apartments","From Highway 305 turn right onto Winslow Way E.  Turn left onto Madison Ave S.  Follow to end and turn right onto Parfitt Way SW.  Turn right into Parfitt Arms Apartments.",FALSE,
22,13,,,,"No description",,,47.7357493,-122.6277753,"Overeaters Anonymous - Kitsap - St Olaf's Catholic Church","Located across the streets from the NKHS Tennis Courts in the Religious Education Building.",FALSE,
