id,accreditations,alternate_name,date_incorporated,description,email,funding_sources,legal_status,licenses,name,tax_id,tax_status,website
1,,"Abrahams House",,"No qualification needed. Abraham's House provides free furniture, clothing, baby and children's items, household goods, appliances, beds, and bedding to those in need free of charge.",,,,,"Abraham's House",46-0472850,,http://www.abrahamshouse.org
2,,PSP,,"In home personal care. Services include assistance with the following: making calls, medication reminders, safety with walking or use of ambulating devices, positioning, assist with transfers, toileting, transportation, dressing, hygiene, bathing, meals preparation, shopping.",,,,,"Personal Service Providers",91-1400684,,http://www.psproviders.org/
3,,UGM,,"The Union Gospel Mission of Grays Harbor endeavors to meet the physical needs of the last, the least, and the lost, while telling them about the good news of Jesus Christ.",,,,,"Union Gospel Mission of Grays Harbor",91-0580853,,http://www.ugmgraysharbor.org
4,,CCAP,,"Provides comprehensive information and referral, for social and health services, for Grays Harbor County.",,,,,"Coastal Community Action Program - Grays Harbor",91-6066958,,http://www.coastalcap.org
5,,"Brinnon Booster Club",,"This is the food bank for Brinnon. Call for emergency food assistance when necessary.  Location is at the corner of Schoolhouse and Corey Lane, the Booster Club Building. The Booster Club food bank is open on Tuesdays from 10am-1pm.",,,,,"Brinnon Food Bank",23-7047905,,
6,,SSA,,"Provides Social Security cards, processes benefits for retirement, survivors and disability benefits.",,,,,"Social Security Administration - Kitsap",,,http://www.socialsecurity.gov
7,,"South Kitsap Food Bank",,"Assists low income South Kitsap residents with food",,,,,"South Kitsap Helpline",911117868,,http://www.skhelpline.org/
8,,SUFK,,"The mission of STANDUP FOR KIDS is to help homeless and street kids. We do this, every day, in cities across America. We carry out our mission through our volunteers who go to the streets in order to find, stabilize and otherwise help homeless and street kids improve their lives.",,,,,"StandUp For Kids",33-0414855,,http://www.standupforkids.org
9,,AFS,,"Provides financial education, budget and credit counseling, debt management, housing foreclosure counseling, pre-purchase housing counseling, pre-bankruptcy counseling, debtor education and on line personal finance classes. Presents personal finance classes to organizations and individuals in the community. Offers debt management program to help clients to become free of debt in approximately five years or less.",,,,,"American Financial Solutions",91-1163554,,http://www.myfinancialgoals.org
10,,"Gender Talks",,"Runs weekly after-school groups for teenage girls and boys. Organizes all-girl circles called DaughtersSisters, all-boy circles called BrothersSons, and mixed circles called GenderTalks. In the circles, teens learn to speak from their hearts and to listen to others with compassion and without judgment. Trains group facilitators. Conducts collaborative workshops on compassionate listening, peace building, diversity, and ethical leadership.",,,,,"Teen Talking Circles",,,http://www.teentalkingcircles.org
11,,OMR,,"Provides mountain search and rescue services as well as mountain safety education.",,,,,"Olympic Mountain Rescue",911000954,,http://www.olympicmountainrescue.org/
12,,"OA Jefferson",,"A 12-step program for compulsive overeaters.  No dues, fees or weigh-ins.  Call above number for days, times, and other information.",,,,,"Overeaters Anonymous - Jefferson",,,
13,,"OA Kitsap",,"A 12-step program for compulsive overeaters.  No dues, fees or weigh-ins.  Call above number for days, times, and other information.",,,,,"Overeaters Anonymous - Kitsap",,,
14,,DVSA,,"Provides 24-hour crisis response; advocacy-based counseling; social, medical, legal, advocacy; community education; information and referral for victims of major crimes, domestic violence and sexual assault; domestic violence women's groups, sexual assault support group, and emergency shelter for people fleeing intimate partner domestic violence.  Prevention education.",,,,,"Forks Abuse Program",911198027,,http://www.forksabuseprogram.org
15,,,,"Labor Ready supplies temporary laborers to companies who need workers quickly and for the short-term, in most instances. People, who are looking for a day's work to make some money, can go to Labor Ready early in the morning to sign up.  Those employed are usually paid the same day that the work is completed.   Employers and employees are asked to call for more information.",,,,,"Labor Ready",,,http://www.laborready.com
16,,211,,"Peninsulas' 2-1-1 exists to provide a comprehensive integrated health and human services information and referral network for residents of the Kitsap and Olympic Peninsula's",,,,,"Peninsulas' 2-1-1",911020106,,http://crisisclinicofthepeninsulas.org/peninsulas2-1-1/
17,,ACFB,,"Provides a food bank which serves the Aberdeen and Cosmopolis communities.",,,,,"Aberdeen Community Food Bank",,,
18,,VFW,,"The Veterans Service Office is comprised of volunteers of VFW Post 1694 and American Legion Post 31.  Assists qualified veterans in applying for both county assistance funds and federal VA benefits.",,,,,"Veterans Service Office - Mason",,,
19,,"B&G Club",,"The Boys and Girls Clubs provides a year-round, building-centered, positive and safe place for all kids, helping them to acquire skills and develop qualities necessary to make the right choices and become responsible citizens and leaders. (Affiliated with the Boys and Girls Club of America)

The location is  across and down the hill from Hawkins Middle School in the portable in Belfair.  Summer activities at drop-in center: Activities for kids include sports, arts and crafts, a reading room and a game room.  Group discussion and workshops on anger management are offered and week long classes in ceramics and photography.",,,,,"Boys and Girls Club of South Puget Sound - North Mason",91-0759832,,http://www.bgcsps.org
20,,CNPC,,"Free pregnancy tests, support counsel concerning all pregnancy options, ongoing support for pregnancy, patenting and post abortion trauma. All services are free and confidential.  Maternity and infant clothing 0-size 2 available.
Donations accepted for clothing, baby items, maternity clothes, formula and disposable diapers.",,,,,"Care Net Pregnancy Center of Mason County",911304215,,http://www.sheltoncarenet.org
21,,GHCAC,,"The Mission of the Children's Advocacy Center of Grays Harbor is to promote and facilitate a multi-disciplinary, child-focused and culturally sensitive approach to the prevention, investigation, intervention,  prosecution and treatment of child abuse and neglect.
Year of Incorporation: 1999",,,,,"Children's Advocacy Center of Grays Harbor",911962951,,
22,,"DSHS - DCFS",,"Operates a child abuse hotline.  Provides child protective services and child welfare services.  Also provides family reconciliation services to families with adolescents who have run away.  Connects families interested in adopting with children in DSHS custody.",,,,,"DSHS - Division of Children and Family Services - Mason",,,http://www.dshs.wa.gov/
23,,"Chinook Food Bank",,"Food bank for local residents in need run by the Friends of Chinook School.",,,,,"Chinook Food Bank",300165711,,http://www.friendsofchinookschool.org
24,,CCCFB,,"Offers a free local food bank though the Copalis Community Church with clothing, bedding, and household items.  Summer lunch program distributes lunches to children ages 1-18 Monday through Friday.
",,,,,"Copalis Community Church Food Bank",91-0823403,,
25,,DVCGH,,"Domestic Violence Center of Grays Harbor serve survivors of domestic violence - this includes male and female survivors and their families.",,,,,"Domestic Violence Center of Grays Harbor",91-1129637,,
26,,911,,"This is the dispatcher number to the Jefferson County sheriff office. For emergencies in Jefferson County dial:  911.",,,,,"Jefferson County Sheriff's Office",,,http://www.jeffersonsheriff.org
27,,FIAWS,,"The purpose of Faith in Action's programs is to support independent living for our senior and disabled neighbors.",,,,,"Faith in Action Senior Services",02-0700-148,,http://fiaws.org
28,,HFHMC,,"Habitat for Humanity works in partnership with people in need to build affordable housing • The houses then are sold to those in need at no profit and with no interest charged • Houses are built with a contribution of hundreds of hours of labor on the part of the homeowners and volunteers • By investing themselves in the building process, homeowners gain self-reliance, self-esteem and new skills • Their down payments and monthly mortgage payments are used to build more houses through a revolving Fund for Humanity.",,,,,"Habitat for Humanity of Mason County",911686044,,http://www.habitatmasonwa.org
29,,"Harmony Hill of Union",,"Harmony Hill offers a range of programs open to the public emphasizing individual wellness, stress reduction and sustainable living. Revenue from our wellness and rental programs goes to support the cancer programs, which are offered at no cost to the participants.",,,,,"Harmony Hill Retreat Center",94-3050703,,http://www.harmonyhill.org
30,,"Health Care Center (Shelton)",,"Health Care, general as well as minor acute problems.MD and physicians assistants with MD supervisor/consultation. Male and female care providers.",,,,,"Health Care Center",,,
31,,HCFB,,"Reduce hunger in northwest Mason County by operating a food bank for needy families in the Lower Hood Canal Area.",,,,,"Hood Canal Food Bank",91-1449048,,
32,,"Hoquiam Food Bank",,"The Hoquiam Food and Clothing Bank helps people by providing food to residents of the 98550 zip-code, and clothing to Grays Harbor county residents.",,,,,"Hoquiam Food and Clothing Bank",94-3249593,,
33,,HSMC,,"The Humane Society of Mason county provides information and referral to agencies that can help with various animal needs.  The Humane Society works with Kitsap Humane Society to provide low cost spay/neutering services, but does not operate an animal shelter.",,,,,"Humane Society of Mason County",911378403,,http://www.humanesocietyofmasoncounty.com
34,,,,"A food and clothing bank serving primarily residents of Humptulips, Quinault and Queets.",,,,,"Humptulips Food Bank",91-2002760,,
35,,"Mark Reed Hospital",,"Critical Access Hospital which provides medical care for the public.  Our out patient services include: A 24 hour Emergency department with a Level 5 Trauma, Level 3 Stroke, and Level 2 Cardiac Designations.  Includes Laboratory services, Radiology services and other various patient care services.  We also take care of Observation patients, Acute Care patients and a skilled nursing program.  Grays Harbor Hospital District #1 also includes Mark Reed Healthcare Clinic and Elma Family Practice.",,,,,"Summit Pacific Medical Center",910593059,,http://www.sp-mc.org
36,,"Belfair Community Center",,"Rooms for rent for events, meetings, etc. Full commercial kitchen. Acts as an emergency shelter when designated by the Red Cross or Mason Fire District #2.",,,,,"Mary E Theler Community Center",911275037,,http://www.thelercenter.org
37,,MCEMD,,"To endeavor to minimize the impacts of emergencies and disasters on the people, property, environment, and economy of Mason County and the region through preparedness, mitigation, response, and recovery.",,,,,"Mason County Emergency Management",,,
38,,"Mason County Health Department",,"Mason County Public Health and Human Services provides preventive health care and information.  Services include: vital records (birth and death certificates); HIV/AIDS case management; maternity support services such as prenatal and postpartum home visits; Tuberculosis information and treatment; oral health referrals including Access to Baby and Child Dentistry; tobacco prevention and cessation referrals; communicable disease investigations; child welfare and early intervention services; screenings and referrals for children with special health care needs. Mason County Public Health and Human Services also inspects food service establishments, pools, solid waste facilities, permits on-site septic systems to protect ground and surface water and responds to vector borne diseases.",,,,,"Mason County Public Health and Human Services",,,http://www.co.mason.wa.us
39,,MCL,,"Provides classes and tutoring in reading, writing, math, GED prep, and English for speakers of other languages.",,,,,"Sound Learning",91-1518739,,http://www.soundlearning.co
40,,MCSAC,,"A central place where persons 50 and older meet, socialize, take part in recreational and educational programs and nutrition.  An outreach for seniors linking them with resources and volunteer opportunities.  The Center provides line dancing, Tai Chi, gentle yoga, hula hoop, Zumba walking, painting classes, bingo, pinochle, bridge, Mahjong,crafts, quilt-making, sewing, casino trips, pool, movies, van trips, motor coach trips, blood pressure checks, musical entertainment, holiday parties and more.  Senior Nutrition Program lunches. Foot care for fee by appointment.",,,,,"Mason County Senior Activities Association",91-1150971,,http://www.mcsac.net
41,,"Crossroads Shelter",,"To provide safe, temporary shelter and guidance to homeless families.",,,,,"Crossroads Housing",91-1569401,,http://www.crossroads-housing.net
42,,MTA,,"General Public Transportation Services, to include fixed-route bus service, dial-a-ride, commuter services and a volunteer driver program. Regional connections to Jefferson Transit, Kitsap Transit, Washington State Ferry Terminal in Bremerton, Squaxin Island Transit, Grays Harbor Transit and Intercity Transit.  All Mason Transit buses are equipped with wheelchair lifts and bike racks.",,,,,"Mason Transit Authority",91-1554133,,http://www.masontransit.org
43,,,,"Assistance in the development of work awareness and job specific skills: remedial education, job training, financial assistance to fund GED, help to get a job, assistance to businesses by reducing or eliminating labor cost during the training period.

NOTE:  Programs are funded by WIA (Workforce Investment Act)",,,,,"Mason County Youth Programs",,,
