id,location_id,program_id,accepted_payments,alternate_name,description,eligibility,email,fees,funding_sources,application_process,interpretation_services,keywords,languages,name,required_documents,service_areas,status,wait_time,website,taxonomy_ids
1,2,,,,"Provides clothing, household goods, furniture (including appliances when available) for homes.  Pick-up on Saturdays, call to schedule pickup.  Accepts most items, even items other charities will not accept, including running vehicles","No restrictions.",trmunger@gmail.com,None.,,"Call for more information.",,,,"Household Goods and Furniture",,Kitsap,active,,http://www.abrahamshouse.org,"B,P,T,BM,PX,TI,BM-3000,BM-6500,PX-0400,TI-1800,TI-2100,BM-3000.1000,BM-3000.2000,BM-3000.5000,BM-6500.1500,TI-1800.1500,TI-1800.3000,TI-1800.9000,BM-3000.2000-250,BM-6500.1500-250,TI-1800.1500-250,TI-1800.3000-080,TI-1800.3000-100,TI-1800.3000-180,TI-1800.3000-200"
2,1,,,,"Provides clothing, household goods, furniture (including appliances when available) for homes.  Pick-up on Saturdays, call to schedule pickup.  Accepts most items, even items other charities will not accept, including running vehicles","No restrictions.",trmunger@gmail.com,None.,,"Call for more information.",,,,"Household Goods and Furniture",,Kitsap,active,,http://www.abrahamshouse.org,"B,P,T,BM,PX,TI,BM-3000,BM-6500,PX-0400,TI-1800,TI-2100,BM-3000.1000,BM-3000.2000,BM-3000.5000,BM-6500.1500,TI-1800.1500,TI-1800.3000,TI-1800.9000,BM-3000.2000-250,BM-6500.1500-250,TI-1800.1500-250,TI-1800.3000-080,TI-1800.3000-100,TI-1800.3000-180,TI-1800.3000-200"
3,3,,,,"In home assistance with housekeeping, laundry, meal preparation, shopping and essential errands, and transportation to medical appointments.","Anyone with the ability to pay or eligible for qualifying insurance and programs.",donnac@myhhhh.org,"Dependant on service. Accepts private pay, COPES, Medicaid, L&I, Veterans Assistance, DDD MPC and DDD Family Support and Respite, ALS, SCSA Chore, and all Long Term Care Insurance.",,"Call for more information.",,,,"In-Home Domestic and Personal Care",,"Grays Harbor,Pacific",active,,http://www.psproviders.org,"B,P,BT,PH,BT-4500,PH-3300,BT-4500.6500,PH-3300.1800,PH-3300.3100,PH-3300.3220,PH-3300.6500,BT-4500.6500-500"
4,3,,,,"Offers temporary relief care to provide a rest or reprieve for primary caregivers.","Anyone with the ability to pay or eligible for qualifying insurance and programs.",donnac@myhhhh.org,"Dependant on service. Accepts private pay, COPES, Medicaid, L&I, Veterans Assistance, DDD MPC and DDD Family Support and Respite, ALS, SCSA Chore, and all Long Term Care Insurance.",,"Call for more information.",,,,Respite,,"Grays Harbor,Pacific",active,,,"P,PH,PH-7000,PH-7000.3300,PH-7000.3300-040,PH-7000.3300-140"
5,4,,,,"Offers a free clothing bank from M-F, 3pm-4:30pm to males at the 405 East Heron facility. There is a clothing bank for women and children open on the second and fourth Friday of the month, 1pm-3pm at the 513 North G Street facility.   Guests can also access showers during these times.","No restrictions.",laurel@ugmgraysharbor.org,None.,,"Walk in during clothing bank hours or call for more information.",,,,Clothing,,"Grays Harbor,Pacific",active,,http://www.ugmgraysharbor.org,"B,BM,BM-6500,BM-6500.1500,BM-6500.1500-120,BM-6500.1500-250"
6,4,,,,"Our household store is located at the Union Gospel Mission at 405 East Heron in Aberdeen. We receive beds, sofas, chairs, tables, dressers, household supplies, and much, much more.   However, just as quickly as items are received, they are given away to those in need.  Through the store, UGM is able to help people who come off the streets in need of a blanket or sleeping bag.  Provides household goods to those who have relocated or been separated from their families, or lost their material goods through a fire or other emergencies. Helps shelter guests with furniture and other household items as they move on, into their own apartment or home.

The store is unable to operate without the generous donations of individuals, families, and businesses. If you have useable furniture or other household items (pots, pans, dishes, towels, bedding, etc.) please call 360-533-1064. Our driver will call you to schedule a time for pickup.

It can be accessed on Monday-Friday, 3pm-4:30pm by anyone needing furniture and household goods.  Go to the front desk at 405 E Heron Street during store hours.","For anyone in need.  Must provide proof of residence to receive furniture items (not blankets or sleeping bags).",laurel@ugmgraysharbor.org,None.,,"Call or walk in for assistance.",,,,"Free Warehouse Store",,"Grays Harbor,Pacific",active,,http://www.ugmgraysharbor.org,"B,P,T,BM,PL,TI,BM-3000,PL-7200,TI-1800,BM-3000.1000,BM-3000.2000,BM-3000.4000,TI-1800.1500,TI-1800.2000,TI-1800.3000,TI-1800.4500,BM-3000.2000-250,TI-1800.1500-150,TI-1800.1500-250,TI-1800.1500-870,TI-1800.3000-100,TI-1800.3000-180,TI-1800.3000-200,TI-1800.3000-350,TI-1800.4500-150"
7,4,,,,"The shelter facility at the main mission building at 405 East Heron in Aberdeen can accommodate up to 40 men per night. If you need a place to stay, call (360) 533-1064 or come by the mission during open hours (if the door is locked, ring doorbell). The Mission is located just across the street from the Jack-in-the-Box restaurant before the bridge on the way to the WalMart shopping center.","For homeless or indigent men.  Must have ID if available and acknowledge the rules of the house.",laurel@ugmgraysharbor.org,None.,,"Fill out form at front desk.",,,,"Heron Street Mission Men's Shelter",,"Grays Harbor,Pacific",active,,http://www.ugmgraysharbor.org,"B,BH,BH-1800,BH-1800.8500,BH-1800.8500-150"
8,4,,,,"UGM serves three free meals Monday-Friday at 7am, noon, and 7pm.  Also serves two meals on weekends, Saturday 10:30am, 5pm, and Sunday at 7:30am and 4pm.  The meals are open to everyone, and no I.D. is required.","No restrictions.",laurel@ugmgraysharbor.org,None.,,Walk-in.,,,,Meals,,"Grays Harbor,Pacific",active,,http://www.ugmgraysharbor.org,"B,BD,BD-5000,BD-5000.1500"
9,4,,,,"UGM and Friendship House offers a one year voluntary, life-transforming, faith-based recovery program for any man or woman that wants to break destructive cycles in their life.","Must make an appointment with contacts listed.",laurel@ugmgraysharbor.org,None,,"Men:  Contact Gary Rowell, Executive Director; 360-533-1064.
Women:  Contact Paula Rowell, Director at Friendship House; 360-533-2221.",,,,"New Foundation Program",,"Grays Harbor",active,,http://ugmgraysharbor.org/?page_id=111,"R,RX,RX-8500,RX-8500.6500"
10,4,,,,"Showers for males are available daily 3pm-5pm at 405 East Heron. Women and children may shower M-F, 1pm-3pm at 513 North G Street.  Personal hygiene items such as toothbrush, toothpaste, razor, aftershave, and deodorant are provided when available.","No restrictions.",laurel@ugmgraysharbor.org,None.,,"Call or walk in for assistance.",,,,Showers,,"Grays Harbor,Pacific",active,,http://www.ugmgraysharbor.org,"B,Y,BM,YZ,BM-6500,YZ-3100,BM-6500.6500,BM-6500.6500-150,BM-6500.6500-650"
